Cohort,Total Cohort,Total Grads - n,Total Grads - % of cohort,Local ,Local - % of cohort,Local - % of grads,Still Enrolled - n,Still Enrolled - % of cohort,Dropped Out - n,Dropped Out - % of cohort
2011,11453,4913,42.9,2271,19.8,46.2,3512,30.7,2438,21.3
2012,12032,5328,44.3,2217,18.4,41.6,4047,33.6,2140,17.8
2013,13632,6389,46.9,2528,18.5,39.6,4258,31.2,2472,18.1
2014,14364,7448,51.9,2823,19.7,37.9,4169,29,2303,16
2015,15175,8229,54.2,2611,17.2,31.7,3943,26,2147,14.1
2016,15579,8524,54.7,2212,14.2,26,3824,24.5,2402,15.4
Aug-16,15579,9215,59.2,2610,16.8,28.3,3160,20.3,2375,15.2
2011,19961,9758,48.9,3591,18,36.8,6101,30.6,3547,17.8
2012,20808,10337,49.7,3298,15.8,31.9,6368,30.6,3369,16.2
2013,21334,11064,51.9,3353,15.7,30.3,6571,30.8,3198,15
2014,22353,12303,55,3431,15.3,27.9,6487,29,2973,13.3
2015,22331,12603,56.4,3115,13.9,24.7,6320,28.3,2578,11.5
2016,22177,13040,58.8,2600,11.7,19.9,5636,25.4,2731,12.3
Aug-16,22177,14043,63.3,3098,14,22.1,4648,21,2716,12.2
2011,12670,7480,59,2519,19.9,33.7,2829,22.3,1962,15.5
2012,13463,7746,57.5,2259,16.8,29.2,3561,26.5,1743,12.9
2013,13879,7613,54.9,2114,15.2,27.8,4240,30.5,1729,12.5
2014,15127,8780,58,2331,15.4,26.5,4243,28,1842,12.2
2015,15843,9816,62,2192,13.8,22.3,3874,24.5,1597,10.1
2016,16416,10411,63.4,1696,10.3,16.3,3719,22.7,1684,10.3
Aug-16,16416,10947,66.7,1954,11.9,17.8,3194,19.5,1674,10.2
2011,17011,9180,54,2738,16.1,29.8,4679,27.5,2696,15.8
2012,18262,9869,54,2624,14.4,26.6,4961,27.2,2816,15.4
2013,18415,10455,56.8,2538,13.8,24.3,4869,26.4,2718,14.8
2014,18725,10922,58.3,2472,13.2,22.6,5001,26.7,2505,13.4
2015,19511,11863,60.8,2573,13.2,21.7,4435,22.7,2435,12.5
2016,19558,12465,63.7,2180,11.1,17.5,4272,21.8,2256,11.5
Aug-16,19558,13378,68.4,2626,13.4,19.6,3363,17.2,2252,11.5
2011,3872,2565,66.2,665,17.2,25.9,786,20.3,417,10.8
2012,4134,2721,65.8,683,16.5,25.1,844,20.4,426,10.3
2013,4218,2812,66.7,643,15.2,22.9,919,21.8,374,8.9
